amount,merchant,description,category
2318.82,McDonald's,Movie night,Food
340.02,Domino's,Cab ride,Food
19614.16,Flipkart,Doctor appointment,Shopping
5227.6,Domino's,Cab ride,Food
14584.53,Ajio,Dinner,Shopping
3176.94,MakeMyTrip,Streaming subscription,Travel
6321.85,Flipkart,Electricity bill,Shopping
14704.6,BookMyShow,Electricity bill,Entertainment
7076.15,Airtel,Cab ride,Utilities
16158.15,Unacademy,Rent payment,Education
3642.69,Ola,Rent payment,Transport
1021.19,Flipkart,Grocery shopping,Shopping
9103.22,Apollo,Monthly bill,Health
15675.96,Unacademy,Online purchase,Education
14033.8,Microsoft,Monthly bill,Other
12962.74,Ola,Pharmacy order,Transport
4507.94,SBI,Doctor appointment,Rent
7479.17,1mg,Recharge,Health
7243.72,HDFC Bank,Lunch,Rent
14614.54,Uber,Recharge,Transport
13385.82,Spotify,Dinner,Entertainment
6119.77,Apple,Cab ride,Other
3099.0,Cleartrip,Tuition fees,Travel
10551.19,Tata,Cab ride,Other
16045.73,Jio,Recharge,Utilities
4743.03,Amazon,Lunch,Shopping
71.16,Goibibo,Rent payment,Travel
7018.72,Goibibo,Recharge,Travel
1542.07,Domino's,Dinner,Food
4864.14,Byju's,Monthly bill,Education
12373.15,1mg,Recharge,Health
7829.53,Apollo,Rent payment,Health
19007.81,Udemy,Pharmacy order,Education
18153.15,Paytm,Grocery shopping,Rent
10782.35,Cleartrip,Flight booking,Travel
16947.99,RedBus,Cab ride,Transport
8048.94,Goibibo,Doctor appointment,Travel
765.9,1mg,Tuition fees,Health
14291.86,BookMyShow,Lunch,Entertainment
5076.62,Spotify,Flight booking,Entertainment
14942.68,Tata,Flight booking,Other
4978.79,BookMyShow,Streaming subscription,Entertainment
5377.1,HDFC Bank,Lunch,Rent
17450.55,BookMyShow,Movie night,Entertainment
17205.98,HDFC Bank,Grocery shopping,Rent
12468.02,Cleartrip,Movie night,Travel
19885.73,Coursera,Online purchase,Education
9726.38,KFC,Weekend trip,Food
4592.21,PharmEasy,Grocery shopping,Health
19196.91,Tata,Rent payment,Other
9362.69,ICICI Bank,Dinner,Rent
3244.67,Tata,Grocery shopping,Other
6965.29,Apollo,Recharge,Health
12758.78,BWSSB,Grocery shopping,Utilities
15376.79,Tata,Doctor appointment,Other
9118.69,SBI,Streaming subscription,Rent
16990.85,Airtel,Rent payment,Utilities
10795.26,Tata,Streaming subscription,Other
7982.3,HDFC Bank,Doctor appointment,Rent
3612.17,ICICI Bank,Monthly bill,Rent
16518.32,Cleartrip,Flight booking,Travel
14983.69,Ola,Weekend trip,Transport
19976.64,ICICI Bank,Cab ride,Rent
14829.17,Tata,Streaming subscription,Other
649.97,Rapido,Doctor appointment,Transport
13181.87,MakeMyTrip,Electricity bill,Travel
17545.52,Flipkart,Cab ride,Shopping
8672.09,MedPlus,Weekend trip,Health
2467.82,MedPlus,Dinner,Health
7955.75,Paytm,Online purchase,Rent
10508.48,Rapido,Rent payment,Transport
14433.88,HDFC Bank,Movie night,Rent
5021.71,Ola,Cab ride,Transport
18195.52,BESCOM,Cab ride,Utilities
19258.95,Airtel,Dinner,Utilities
6800.26,Uber,Weekend trip,Transport
3326.45,Ajio,Recharge,Shopping
14268.96,MedPlus,Doctor appointment,Health
12419.37,Netflix,Monthly bill,Entertainment
2139.19,Cleartrip,Monthly bill,Travel
643.82,HDFC Bank,Grocery shopping,Rent
8134.46,Hotstar,Grocery shopping,Entertainment
19149.44,Goibibo,Online purchase,Travel
18563.54,MedPlus,Pharmacy order,Health
17492.69,Apollo,Pharmacy order,Health
8481.83,Zomato,Movie night,Food
16824.45,Tata,Pharmacy order,Other
7152.38,Swiggy,Recharge,Food
13478.93,Domino's,Doctor appointment,Food
5809.9,Goibibo,Rent payment,Travel
3209.87,BookMyShow,Tuition fees,Entertainment
12387.59,RedBus,Lunch,Transport
10962.58,Rapido,Doctor appointment,Transport
663.15,Jio,Weekend trip,Utilities
15698.82,Microsoft,Grocery shopping,Other
13726.07,Ola,Lunch,Transport
1886.3,Paytm,Tuition fees,Rent
9743.0,Uber,Flight booking,Transport
4790.77,Byju's,Dinner,Education
7229.82,BWSSB,Flight booking,Utilities
13715.23,Zomato,Monthly bill,Food
15590.49,KFC,Lunch,Food
5131.59,PharmEasy,Electricity bill,Health
11654.63,PharmEasy,Online purchase,Health
7793.51,ICICI Bank,Streaming subscription,Rent
5619.8,Udemy,Online purchase,Education
12987.18,SBI,Recharge,Rent
2799.14,MakeMyTrip,Online purchase,Travel
18212.53,RedBus,Online purchase,Transport
1712.4,Ola,Lunch,Transport
6214.17,Cleartrip,Recharge,Travel
1616.04,Apple,Weekend trip,Other
16868.63,Ola,Weekend trip,Transport
3797.77,PharmEasy,Recharge,Health
12237.85,Jio,Online purchase,Utilities
3735.27,Swiggy,Pharmacy order,Food
18638.69,Rapido,Movie night,Transport
13020.13,BookMyShow,Weekend trip,Entertainment
4089.55,Unacademy,Electricity bill,Education
8625.95,1mg,Movie night,Health
16216.95,Hotstar,Weekend trip,Entertainment
8838.28,BWSSB,Movie night,Utilities
1054.98,Apollo,Online purchase,Health
7012.12,1mg,Cab ride,Health
11322.31,Coursera,Dinner,Education
3292.69,RedBus,Movie night,Transport
12640.37,MakeMyTrip,Movie night,Travel
3419.62,Jio,Pharmacy order,Utilities
18694.41,Goibibo,Tuition fees,Travel
8422.48,Microsoft,Dinner,Other
852.66,ICICI Bank,Tuition fees,Rent
17338.69,BESCOM,Online purchase,Utilities
4725.4,MedPlus,Weekend trip,Health
9627.78,1mg,Streaming subscription,Health
7503.13,Rapido,Cab ride,Transport
18980.72,Swiggy,Online purchase,Food
10772.22,Google,Rent payment,Other
9163.85,Amazon,Doctor appointment,Shopping
3566.16,Unacademy,Dinner,Education
13025.87,Amazon,Weekend trip,Shopping
9762.94,Uber,Lunch,Transport
14947.81,Spotify,Streaming subscription,Entertainment
5312.15,Uber,Grocery shopping,Transport
5101.72,Amazon,Monthly bill,Shopping
10558.77,Domino's,Recharge,Food
6844.63,Myntra,Cab ride,Shopping
13210.66,BookMyShow,Lunch,Entertainment
1463.74,Flipkart,Rent payment,Shopping
7567.81,Myntra,Weekend trip,Shopping
9979.31,SBI,Recharge,Rent
11815.12,BWSSB,Grocery shopping,Utilities
5048.88,MakeMyTrip,Pharmacy order,Travel
9434.31,Paytm,Movie night,Rent
10300.65,Coursera,Recharge,Education
4141.41,Coursera,Lunch,Education
7916.0,Ola,Recharge,Transport
19619.29,Byju's,Rent payment,Education
10280.33,ICICI Bank,Electricity bill,Rent
13004.59,HDFC Bank,Electricity bill,Rent
3520.87,Hotstar,Flight booking,Entertainment
5092.35,Netflix,Dinner,Entertainment
3146.11,Paytm,Streaming subscription,Rent
2036.37,Jio,Streaming subscription,Utilities
17147.09,Domino's,Weekend trip,Food
2463.56,BWSSB,Streaming subscription,Utilities
19374.17,Zomato,Lunch,Food
983.28,Spotify,Electricity bill,Entertainment
3298.66,Udemy,Flight booking,Education
4015.71,Jio,Recharge,Utilities
14961.38,Paytm,Tuition fees,Rent
10403.28,Byju's,Grocery shopping,Education
7337.25,BookMyShow,Weekend trip,Entertainment
17155.76,Rapido,Online purchase,Transport
17207.26,MakeMyTrip,Weekend trip,Travel
11845.07,Apollo,Online purchase,Health
19244.66,BWSSB,Lunch,Utilities
19811.48,Netflix,Grocery shopping,Entertainment
6341.26,Spotify,Rent payment,Entertainment
9851.6,Google,Weekend trip,Other
14073.85,PharmEasy,Weekend trip,Health
18889.98,BESCOM,Doctor appointment,Utilities
3095.23,Flipkart,Grocery shopping,Shopping
18257.41,Unacademy,Tuition fees,Education
3633.58,Coursera,Doctor appointment,Education
1774.27,Cleartrip,Pharmacy order,Travel
8953.39,Netflix,Streaming subscription,Entertainment
17961.34,PharmEasy,Grocery shopping,Health
509.96,Paytm,Tuition fees,Rent
2398.11,Google,Flight booking,Other
8350.0,BWSSB,Dinner,Utilities
5483.68,Udemy,Online purchase,Education
1738.82,Apple,Streaming subscription,Other
18300.53,Netflix,Pharmacy order,Entertainment
15451.12,Microsoft,Doctor appointment,Other
4871.64,ICICI Bank,Movie night,Rent
1212.97,Zomato,Recharge,Food
9881.64,Rapido,Monthly bill,Transport
6674.31,Udemy,Streaming subscription,Education
12468.99,BESCOM,Cab ride,Utilities
3092.07,Uber,Rent payment,Transport
358.68,MedPlus,Cab ride,Health
2868.75,Myntra,Lunch,Shopping
15284.14,Coursera,Dinner,Education
12736.51,Uber,Dinner,Transport
5153.56,BESCOM,Online purchase,Utilities
7555.07,Jio,Lunch,Utilities
1075.62,Udemy,Streaming subscription,Education
16320.84,Spotify,Recharge,Entertainment
425.1,Domino's,Rent payment,Food
5855.23,Netflix,Weekend trip,Entertainment
9348.69,BESCOM,Flight booking,Utilities
17733.18,KFC,Weekend trip,Food
13665.14,Coursera,Lunch,Education
688.0,BookMyShow,Lunch,Entertainment
15608.73,Goibibo,Cab ride,Travel
18807.17,Jio,Weekend trip,Utilities
6492.78,RedBus,Lunch,Transport
10054.63,BESCOM,Doctor appointment,Utilities
12328.66,Tata,Grocery shopping,Other
812.31,McDonald's,Movie night,Food
8715.87,McDonald's,Lunch,Food
987.87,IRCTC,Rent payment,Travel
9080.99,Apollo,Movie night,Health
6016.09,Paytm,Recharge,Rent
17990.38,IRCTC,Online purchase,Travel
3323.01,1mg,Lunch,Health
12835.77,MedPlus,Flight booking,Health
3563.17,IRCTC,Weekend trip,Travel
14777.62,Airtel,Tuition fees,Utilities
14769.77,Spotify,Electricity bill,Entertainment
16989.5,Tata,Rent payment,Other
10126.75,Ola,Pharmacy order,Transport
16008.55,Uber,Grocery shopping,Transport
18516.25,Hotstar,Movie night,Entertainment
442.18,Unacademy,Movie night,Education
6109.74,Netflix,Weekend trip,Entertainment
1621.29,Ola,Lunch,Transport
5813.05,MakeMyTrip,Movie night,Travel
8568.0,Airtel,Lunch,Utilities
5030.84,Udemy,Movie night,Education
14812.59,PharmEasy,Cab ride,Health
17161.87,KFC,Tuition fees,Food
247.47,Flipkart,Grocery shopping,Shopping
10795.95,Coursera,Electricity bill,Education
476.48,Coursera,Tuition fees,Education
1050.46,Rapido,Electricity bill,Transport
13688.53,Udemy,Pharmacy order,Education
15690.32,Rapido,Tuition fees,Transport
18044.56,BESCOM,Tuition fees,Utilities
9528.78,Apollo,Lunch,Health
18675.38,SBI,Movie night,Rent
16217.57,1mg,Monthly bill,Health
5312.61,Flipkart,Weekend trip,Shopping
9693.24,KFC,Pharmacy order,Food
5166.92,Myntra,Lunch,Shopping
4888.58,Flipkart,Tuition fees,Shopping
12592.04,Uber,Movie night,Transport
6560.23,Netflix,Doctor appointment,Entertainment
11042.17,Unacademy,Grocery shopping,Education
5919.93,Tata,Weekend trip,Other
10734.31,Udemy,Movie night,Education
2891.24,Amazon,Recharge,Shopping
9207.77,Airtel,Pharmacy order,Utilities
18371.53,KFC,Grocery shopping,Food
15150.93,ICICI Bank,Flight booking,Rent
608.68,Udemy,Tuition fees,Education
11379.05,Uber,Movie night,Transport
18603.08,HDFC Bank,Grocery shopping,Rent
14010.72,Uber,Online purchase,Transport
17400.99,Coursera,Weekend trip,Education
5100.15,RedBus,Recharge,Transport
11914.5,Apollo,Electricity bill,Health
1027.9,Coursera,Electricity bill,Education
4740.41,HDFC Bank,Weekend trip,Rent
15755.16,Jio,Grocery shopping,Utilities
2444.83,ICICI Bank,Flight booking,Rent
15180.35,Tata,Recharge,Other
9063.94,1mg,Weekend trip,Health
7336.4,Byju's,Online purchase,Education
13938.58,IRCTC,Tuition fees,Travel
1538.05,Cleartrip,Streaming subscription,Travel
18166.0,Netflix,Recharge,Entertainment
16691.88,Ola,Online purchase,Transport
13142.64,PharmEasy,Recharge,Health
10007.89,Goibibo,Cab ride,Travel
2560.24,HDFC Bank,Movie night,Rent
10174.52,SBI,Recharge,Rent
6365.22,Flipkart,Doctor appointment,Shopping
17362.31,SBI,Lunch,Rent
19342.08,PharmEasy,Recharge,Health
2407.27,Ajio,Online purchase,Shopping
7520.68,Ajio,Streaming subscription,Shopping
4048.41,BWSSB,Recharge,Utilities
11218.3,ICICI Bank,Doctor appointment,Rent
8449.22,Apollo,Lunch,Health
10355.36,Byju's,Lunch,Education
18024.13,Byju's,Streaming subscription,Education
4406.29,Airtel,Tuition fees,Utilities
526.4,Flipkart,Grocery shopping,Shopping
11390.74,IRCTC,Grocery shopping,Travel
11428.13,MakeMyTrip,Pharmacy order,Travel
18102.32,Hotstar,Flight booking,Entertainment
16504.04,Apollo,Monthly bill,Health
14806.63,Jio,Pharmacy order,Utilities
742.78,BWSSB,Weekend trip,Utilities
18264.8,Zomato,Grocery shopping,Food
10660.01,Uber,Doctor appointment,Transport
18765.76,Hotstar,Recharge,Entertainment
19230.39,Amazon,Cab ride,Shopping
14022.19,Paytm,Pharmacy order,Rent
2038.17,MakeMyTrip,Cab ride,Travel
14018.51,Myntra,Movie night,Shopping
4606.67,Byju's,Movie night,Education
9074.3,BESCOM,Streaming subscription,Utilities
6911.3,McDonald's,Online purchase,Food
894.25,MedPlus,Rent payment,Health
7713.63,IRCTC,Flight booking,Travel
4411.27,Paytm,Doctor appointment,Rent
9710.16,Myntra,Monthly bill,Shopping
12985.05,ICICI Bank,Lunch,Rent
10375.78,Apple,Electricity bill,Other
13966.63,Flipkart,Dinner,Shopping
15434.31,Myntra,Weekend trip,Shopping
7249.41,ICICI Bank,Recharge,Rent
2189.49,Byju's,Recharge,Education
4146.74,Zomato,Cab ride,Food
6753.83,MedPlus,Tuition fees,Health
5805.89,Rapido,Rent payment,Transport
1519.93,MedPlus,Rent payment,Health
3845.24,KFC,Monthly bill,Food
14259.89,BWSSB,Doctor appointment,Utilities
13488.58,Paytm,Electricity bill,Rent
4042.7,Ajio,Online purchase,Shopping
2979.72,Goibibo,Dinner,Travel
11982.14,IRCTC,Cab ride,Travel
6651.78,PharmEasy,Weekend trip,Health
12871.5,Unacademy,Online purchase,Education
6387.17,Flipkart,Rent payment,Shopping
725.09,Flipkart,Online purchase,Shopping
15795.44,ICICI Bank,Electricity bill,Rent
13451.29,Airtel,Tuition fees,Utilities
13282.0,Google,Doctor appointment,Other
15416.57,ICICI Bank,Movie night,Rent
16620.31,Amazon,Doctor appointment,Shopping
18296.59,PharmEasy,Lunch,Health
13534.46,Udemy,Streaming subscription,Education
8341.81,Unacademy,Flight booking,Education
6203.58,Apple,Rent payment,Other
14885.61,Cleartrip,Streaming subscription,Travel
16521.1,HDFC Bank,Dinner,Rent
19123.42,1mg,Electricity bill,Health
556.51,IRCTC,Monthly bill,Travel
11712.84,Tata,Grocery shopping,Other
16635.02,McDonald's,Dinner,Food
9458.47,Netflix,Streaming subscription,Entertainment
11280.79,Domino's,Recharge,Food
11053.27,MedPlus,Weekend trip,Health
19955.33,McDonald's,Lunch,Food
6861.06,Airtel,Recharge,Utilities
1742.05,Microsoft,Cab ride,Other
3499.2,Udemy,Electricity bill,Education
10982.64,Google,Recharge,Other
11682.35,Udemy,Doctor appointment,Education
2123.91,PharmEasy,Movie night,Health
11746.75,PharmEasy,Electricity bill,Health
13130.96,Swiggy,Movie night,Food
16325.48,Apollo,Recharge,Health
16109.76,Amazon,Pharmacy order,Shopping
10442.11,Coursera,Streaming subscription,Education
8803.33,PharmEasy,Streaming subscription,Health
5068.98,BWSSB,Pharmacy order,Utilities
1551.71,KFC,Streaming subscription,Food
9811.69,BookMyShow,Tuition fees,Entertainment
11290.51,Swiggy,Streaming subscription,Food
17019.23,KFC,Pharmacy order,Food
14114.96,Cleartrip,Monthly bill,Travel
4391.5,KFC,Monthly bill,Food
15205.86,Domino's,Online purchase,Food
14133.27,McDonald's,Movie night,Food
15027.22,BESCOM,Rent payment,Utilities
16280.73,Uber,Electricity bill,Transport
10407.47,Apollo,Monthly bill,Health
5807.23,KFC,Grocery shopping,Food
6887.62,Airtel,Grocery shopping,Utilities
6222.73,Amazon,Monthly bill,Shopping
13195.42,Apple,Cab ride,Other
9367.54,Udemy,Lunch,Education
19879.78,Udemy,Doctor appointment,Education
12607.11,Netflix,Recharge,Entertainment
12741.07,Amazon,Online purchase,Shopping
12920.25,Rapido,Tuition fees,Transport
3772.86,Jio,Pharmacy order,Utilities
12799.63,BESCOM,Cab ride,Utilities
12898.54,Google,Streaming subscription,Other
10447.33,Jio,Cab ride,Utilities
16159.05,Uber,Lunch,Transport
3879.49,BookMyShow,Monthly bill,Entertainment
8025.88,1mg,Rent payment,Health
8959.35,Domino's,Electricity bill,Food
4225.0,BESCOM,Rent payment,Utilities
15983.52,Google,Monthly bill,Other
6237.44,Amazon,Recharge,Shopping
9771.19,Cleartrip,Grocery shopping,Travel
8610.11,Microsoft,Electricity bill,Other
19653.19,ICICI Bank,Doctor appointment,Rent
3824.26,MedPlus,Pharmacy order,Health
14424.28,BWSSB,Dinner,Utilities
10082.43,MakeMyTrip,Rent payment,Travel
10019.33,Ola,Rent payment,Transport
18744.72,MedPlus,Tuition fees,Health
9499.01,Netflix,Rent payment,Entertainment
1099.15,Swiggy,Flight booking,Food
8797.98,Apollo,Cab ride,Health
19590.54,Myntra,Movie night,Shopping
2661.91,BWSSB,Electricity bill,Utilities
13922.27,Cleartrip,Weekend trip,Travel
4561.39,Apple,Dinner,Other
6842.66,Google,Movie night,Other
11814.9,Ola,Rent payment,Transport
8121.84,Paytm,Monthly bill,Rent
12391.34,PharmEasy,Rent payment,Health
1564.64,BWSSB,Monthly bill,Utilities
14562.1,Amazon,Tuition fees,Shopping
9682.22,Tata,Movie night,Other
12420.86,PharmEasy,Movie night,Health
4281.46,Apple,Pharmacy order,Other
11340.24,McDonald's,Pharmacy order,Food
16715.98,Goibibo,Recharge,Travel
9738.64,Flipkart,Pharmacy order,Shopping
8664.94,Apple,Movie night,Other
13292.23,Amazon,Dinner,Shopping
5755.08,Ajio,Electricity bill,Shopping
781.08,HDFC Bank,Grocery shopping,Rent
6525.21,Amazon,Flight booking,Shopping
879.45,HDFC Bank,Monthly bill,Rent
7416.76,PharmEasy,Tuition fees,Health
13565.84,Domino's,Doctor appointment,Food
4063.59,Coursera,Doctor appointment,Education
11427.08,KFC,Dinner,Food
5745.73,Apollo,Grocery shopping,Health
7476.64,Byju's,Streaming subscription,Education
11860.89,Netflix,Cab ride,Entertainment
8684.97,Apollo,Dinner,Health
510.53,Google,Cab ride,Other
8472.71,Amazon,Dinner,Shopping
5661.5,Byju's,Online purchase,Education
7613.19,Google,Recharge,Other
2769.72,Flipkart,Pharmacy order,Shopping
7747.81,Ola,Weekend trip,Transport
4655.58,MedPlus,Movie night,Health
9167.37,Flipkart,Grocery shopping,Shopping
12925.22,Domino's,Dinner,Food
19743.29,Cleartrip,Pharmacy order,Travel
14315.12,BWSSB,Cab ride,Utilities
18134.15,Goibibo,Recharge,Travel
3581.73,RedBus,Cab ride,Transport
5280.87,Hotstar,Recharge,Entertainment
3003.65,MakeMyTrip,Dinner,Travel
5633.23,Ola,Online purchase,Transport
13248.82,Netflix,Flight booking,Entertainment
7446.96,Ola,Rent payment,Transport
14500.45,Flipkart,Pharmacy order,Shopping
10541.9,BESCOM,Cab ride,Utilities
6823.49,MedPlus,Lunch,Health
11845.18,Ola,Rent payment,Transport
11306.71,Swiggy,Rent payment,Food
6298.52,Amazon,Streaming subscription,Shopping
336.56,Swiggy,Grocery shopping,Food
12940.95,BookMyShow,Doctor appointment,Entertainment
3675.97,Tata,Online purchase,Other
8646.06,MedPlus,Lunch,Health
4746.9,Udemy,Pharmacy order,Education
17659.49,MakeMyTrip,Cab ride,Travel
13844.36,Google,Movie night,Other
11317.28,Udemy,Movie night,Education
1477.53,Google,Rent payment,Other
11889.43,PharmEasy,Tuition fees,Health
3109.91,Hotstar,Cab ride,Entertainment
6037.47,SBI,Movie night,Rent
18185.4,BWSSB,Streaming subscription,Utilities
1116.27,Airtel,Electricity bill,Utilities
7391.67,Apollo,Electricity bill,Health
2093.89,KFC,Monthly bill,Food
14168.51,RedBus,Tuition fees,Transport
7764.2,IRCTC,Electricity bill,Travel
17394.73,Ola,Dinner,Transport
12059.88,Apollo,Tuition fees,Health
11039.39,Spotify,Grocery shopping,Entertainment
14629.77,Airtel,Weekend trip,Utilities
10398.08,Hotstar,Doctor appointment,Entertainment
14720.61,Tata,Lunch,Other
7484.72,RedBus,Pharmacy order,Transport
4335.93,Netflix,Electricity bill,Entertainment
3372.84,Zomato,Dinner,Food
19199.39,RedBus,Tuition fees,Transport
18429.87,Airtel,Weekend trip,Utilities
11930.95,Byju's,Online purchase,Education
3484.82,Domino's,Movie night,Food
3095.55,Google,Flight booking,Other
19911.62,BWSSB,Weekend trip,Utilities
14926.54,1mg,Pharmacy order,Health
16378.84,MakeMyTrip,Doctor appointment,Travel
2394.33,Myntra,Flight booking,Shopping
2144.92,HDFC Bank,Weekend trip,Rent
11481.21,MedPlus,Dinner,Health
15605.25,Rapido,Streaming subscription,Transport
7753.41,PharmEasy,Doctor appointment,Health
17227.56,Cleartrip,Cab ride,Travel
15075.58,Microsoft,Lunch,Other
11479.33,BookMyShow,Rent payment,Entertainment
849.81,Goibibo,Online purchase,Travel
16795.04,Cleartrip,Weekend trip,Travel
12631.6,Goibibo,Flight booking,Travel
9290.23,Tata,Dinner,Other
11715.49,Hotstar,Electricity bill,Entertainment
14583.39,Jio,Doctor appointment,Utilities
2421.19,BESCOM,Rent payment,Utilities
1486.84,HDFC Bank,Grocery shopping,Rent
18548.43,ICICI Bank,Movie night,Rent
773.7,Flipkart,Grocery shopping,Shopping
6429.68,ICICI Bank,Grocery shopping,Rent
3151.24,Amazon,Pharmacy order,Shopping
10185.66,Airtel,Doctor appointment,Utilities
15887.7,MakeMyTrip,Online purchase,Travel
2507.94,Airtel,Rent payment,Utilities
17407.49,Swiggy,Flight booking,Food
16667.08,Airtel,Cab ride,Utilities
13673.33,Flipkart,Dinner,Shopping
15847.5,Netflix,Online purchase,Entertainment
17042.08,BookMyShow,Weekend trip,Entertainment
13171.65,KFC,Weekend trip,Food
1278.48,BESCOM,Online purchase,Utilities
11703.45,MakeMyTrip,Tuition fees,Travel
19101.96,Flipkart,Rent payment,Shopping
2309.68,Tata,Flight booking,Other
9481.6,Google,Online purchase,Other
13281.2,Airtel,Dinner,Utilities
8083.69,BESCOM,Weekend trip,Utilities
6363.03,Google,Dinner,Other
18058.27,Byju's,Movie night,Education
19170.73,Coursera,Lunch,Education
661.3,Udemy,Flight booking,Education
19167.99,BWSSB,Pharmacy order,Utilities
11488.3,Cleartrip,Dinner,Travel
7953.45,Ajio,Doctor appointment,Shopping
4634.22,Unacademy,Monthly bill,Education
3747.75,1mg,Doctor appointment,Health
13066.95,MedPlus,Movie night,Health
6705.14,McDonald's,Weekend trip,Food
11540.42,Paytm,Rent payment,Rent
12761.74,Udemy,Monthly bill,Education
13110.7,Cleartrip,Monthly bill,Travel
19687.0,Myntra,Tuition fees,Shopping
1662.63,Domino's,Flight booking,Food
16247.13,Spotify,Weekend trip,Entertainment
12590.35,Unacademy,Dinner,Education
13885.19,KFC,Grocery shopping,Food
627.06,RedBus,Flight booking,Transport
4164.79,BookMyShow,Flight booking,Entertainment
9177.57,1mg,Pharmacy order,Health
861.83,BWSSB,Pharmacy order,Utilities
73.86,SBI,Dinner,Rent
11021.31,Myntra,Recharge,Shopping
2951.88,IRCTC,Grocery shopping,Travel
5112.08,Microsoft,Flight booking,Other
1991.77,McDonald's,Movie night,Food
4286.42,Spotify,Movie night,Entertainment
15450.33,Unacademy,Rent payment,Education
9617.51,SBI,Recharge,Rent
12571.9,Ola,Movie night,Transport
5027.23,Ola,Recharge,Transport
7180.85,Spotify,Weekend trip,Entertainment
17822.94,HDFC Bank,Electricity bill,Rent
3034.31,HDFC Bank,Monthly bill,Rent
3576.86,Rapido,Monthly bill,Transport
14360.14,Udemy,Monthly bill,Education
2636.96,Coursera,Streaming subscription,Education
8686.4,Spotify,Dinner,Entertainment
14975.16,Airtel,Tuition fees,Utilities
9378.78,Microsoft,Flight booking,Other
10719.01,BookMyShow,Online purchase,Entertainment
3114.22,SBI,Rent payment,Rent
348.99,1mg,Rent payment,Health
6342.75,Apple,Tuition fees,Other
12121.63,ICICI Bank,Dinner,Rent
8053.01,Apple,Dinner,Other
1094.51,Jio,Grocery shopping,Utilities
1779.33,Zomato,Pharmacy order,Food
599.82,Tata,Online purchase,Other
2704.35,Paytm,Lunch,Rent
19334.62,Goibibo,Lunch,Travel
9167.75,Ola,Online purchase,Transport
18182.92,BookMyShow,Recharge,Entertainment
2108.36,Rapido,Rent payment,Transport
19007.24,Uber,Tuition fees,Transport
5771.12,SBI,Online purchase,Rent
8360.96,HDFC Bank,Recharge,Rent
9481.3,Myntra,Lunch,Shopping
13350.7,Jio,Electricity bill,Utilities
19262.54,MakeMyTrip,Grocery shopping,Travel
14983.65,Uber,Online purchase,Transport
9073.17,Paytm,Recharge,Rent
15702.53,Google,Movie night,Other
14052.37,PharmEasy,Weekend trip,Health
848.54,MakeMyTrip,Electricity bill,Travel
4783.04,Jio,Grocery shopping,Utilities
19986.43,Ola,Recharge,Transport
5826.33,MakeMyTrip,Electricity bill,Travel
13647.01,Myntra,Doctor appointment,Shopping
10061.9,Uber,Streaming subscription,Transport
14888.25,McDonald's,Lunch,Food
8913.13,Tata,Rent payment,Other
14809.72,Ajio,Online purchase,Shopping
1786.84,Spotify,Tuition fees,Entertainment
10011.16,RedBus,Monthly bill,Transport
5116.76,IRCTC,Recharge,Travel
8585.16,Jio,Grocery shopping,Utilities
19864.54,Goibibo,Flight booking,Travel
17095.89,Microsoft,Online purchase,Other
16274.99,Cleartrip,Lunch,Travel
3016.46,SBI,Doctor appointment,Rent
14207.11,Apollo,Pharmacy order,Health
3827.27,Ola,Recharge,Transport
16498.24,Microsoft,Lunch,Other
1057.38,KFC,Monthly bill,Food
12132.35,HDFC Bank,Rent payment,Rent
4864.37,Domino's,Electricity bill,Food
2239.0,MakeMyTrip,Electricity bill,Travel
8331.53,Apple,Monthly bill,Other
15761.99,1mg,Electricity bill,Health
10850.39,MakeMyTrip,Electricity bill,Travel
1151.0,Zomato,Doctor appointment,Food
11694.56,PharmEasy,Flight booking,Health
13494.51,Zomato,Tuition fees,Food
7607.37,Tata,Lunch,Other
10915.23,Hotstar,Grocery shopping,Entertainment
8817.18,RedBus,Tuition fees,Transport
17480.68,Paytm,Dinner,Rent
915.27,Ajio,Grocery shopping,Shopping
6836.49,Udemy,Weekend trip,Education
16285.35,Zomato,Weekend trip,Food
1313.4,MakeMyTrip,Monthly bill,Travel
8799.64,Apple,Cab ride,Other
10864.0,Apple,Pharmacy order,Other
2525.43,KFC,Tuition fees,Food
15262.92,HDFC Bank,Pharmacy order,Rent
129.85,Rapido,Monthly bill,Transport
6920.36,Domino's,Rent payment,Food
7359.36,MakeMyTrip,Streaming subscription,Travel
18741.98,IRCTC,Online purchase,Travel
7590.82,Flipkart,Flight booking,Shopping
6583.58,Google,Flight booking,Other
7296.14,Coursera,Rent payment,Education
10666.5,MedPlus,Dinner,Health
19793.38,1mg,Streaming subscription,Health
11234.36,Amazon,Lunch,Shopping
7158.49,Ajio,Lunch,Shopping
8357.28,Microsoft,Grocery shopping,Other
7782.92,MakeMyTrip,Doctor appointment,Travel
8342.65,BookMyShow,Flight booking,Entertainment
16783.42,Flipkart,Grocery shopping,Shopping
9585.69,1mg,Rent payment,Health
6166.01,Amazon,Online purchase,Shopping
7851.44,BookMyShow,Pharmacy order,Entertainment
4246.56,Unacademy,Cab ride,Education
9786.87,RedBus,Electricity bill,Transport
175.28,BWSSB,Recharge,Utilities
18555.75,Coursera,Rent payment,Education
17871.87,Unacademy,Streaming subscription,Education
7102.72,HDFC Bank,Movie night,Rent
10268.56,Apple,Tuition fees,Other
