amount,merchant,description,category
185.57,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
2551.09,Google Pay,payment at Google Pay,Others
718.56,Myntra,home decor at Myntra,Shopping
3155.29,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
3038.07,Unacademy,course fee at Unacademy,Education
2459.27,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
2341.19,Unacademy,subscription at Unacademy,Education
545.07,Tata Power,gas bill at Tata Power,Utilities
126.57,Mahanagar Gas,internet at Mahanagar Gas,Utilities
773.71,Mahanagar Gas,MOBILE RECHARGE AT MAHANAGAR GAS,Utilities
285.88,Ola,flight at Ola,Travel
1780.92,Vedantu,course fee at Vedantu,Education
637.2,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
5570.39,Mahanagar Gas,internet at Mahanagar Gas,Utilities
1536.53,Swiggy,lunch at Swiggy,Dining
2593.01,Vedantu,study material at Vedantu,Education
213.25,Barbeque Nation,lunch at Barbeque Nation,Dining
2970.91,Flipkart,footwear at Flipkart,Shopping
3841.2,Netmeds,doctor visit at Netmeds,Healthcare
1001.4,Netflix,games at Netflix,Entertainment
1398.07,Myntra,home decor at Myntra,Shopping
2171.04,BookMyShow,movie at BookMyShow,Entertainment
288.26,Flipkart,footwear at Flipkart,Shopping
1047.44,IRCTC,train ticket at IRCTC,Travel
762.9,Tata Power,mobile recharge at Tata Power,Utilities
237.39,PhonePe,transfer at PhonePe,Others
687.19,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
105.91,Netmeds,health checkup at Netmeds,Healthcare
39.23,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
217.83,Vedantu,study material at Vedantu,Education
4949.93,Domino's,snack at Domino's,Dining
1196.19,Flipkart,clothes at Flipkart,Shopping
5064.27,RedBus,cab fare at RedBus,Travel
849.77,Indian Oil,diesel at Indian Oil,Fuel
560.55,Vedantu,study material at Vedantu,Education
1058.26,Barbeque Nation,snack at Barbeque Nation,Dining
868.42,domino's,dinner at Domino's,Dining
167.51,Flipkart,footwear at Flipkart,Shopping
1535.92,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
365.09,PractO,doctor visit at PractO,Healthcare
1449.75,Uber,cab fare at Uber,Travel
1575.6,Hotstar,movie at Hotstar,Entertainment
247.36,Unacademy,course fee at Unacademy,Education
94.97,Tata Power,gas bill at Tata Power,Utilities
2276.39,PractO,medicine at PractO,Healthcare
923.72,Spotify,concert at Spotify,Entertainment
89.89,Flipkart,footwear at Flipkart,Shopping
7907.9,Vedantu,subscription at Vedantu,Education
89.28,Vedantu,course fee at Vedantu,Education
1781.34,Zomato,food delivery at Zomato,Dining
6172.95,Indian Oil,petrol at Indian Oil,Fuel
410.04,Ola,flight at Ola,Travel
230.16,Myntra,electronics at Myntra,Shopping
194.11,RedBus,bus ticket at RedBus,Travel
542.05,Vedantu,course fee at Vedantu,Education
159.78,Indian Oil,fuel refill at Indian Oil,Fuel
1767.27,PhonePe,payment at PhonePe,Others
96.47,Tata Power,electricity bill at Tata Power,Utilities
1068.26,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
8569.32,Domino's,snack at Domino's,Dining
2522.77,Barbeque Nation,lunch at Barbeque Nation,Dining
1432.62,Coursera,subscription at Coursera,Education
548.47,Airtel,gas bill at Airtel,Utilities
1466.83,Paytm,recharge at Paytm,Others
1123.12,Coursera,study material at Coursera,Education
832.91,ajio,footwear at Ajio,Shopping
210.12,Coursera,study material at Coursera,Education
3265.31,Big Bazaar,bread at Big Bazaar,Groceries
896.17,HP Petrol Pump,DIESEL AT HP PETROL PUMP,Fuel
324.67,BookMyShow,games at BookMyShow,Entertainment
687.73,DMart,milk at DMart,Groceries
801.99,airtel,gas bill at Airtel,Utilities
2636.37,Domino's,dinner at Domino's,Dining
1984.22,RedBus,cab fare at RedBus,Travel
2199.99,Ajio,home decor at Ajio,Shopping
16.64,Ola,flight at Ola,Travel
807.18,IRCTC,flight at IRCTC,Travel
984.77,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
29.07,Uber,cab fare at Uber,Travel
451.28,bescom,mobile recharge at BESCOM,Utilities
2142.49,Swiggy,dinner at Swiggy,Dining
221.2,uber,flight at Uber,Travel
1149.58,Mahanagar Gas,INTERNET AT MAHANAGAR GAS,Utilities
363.49,Amazon,home decor at Amazon,Shopping
18.29,Flipkart,electronics at Flipkart,Shopping
414.03,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
5586.68,BookMyShow,movie at BookMyShow,Entertainment
2425.73,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
4812.52,IRCTC,train ticket at IRCTC,Travel
1003.72,PhonePe,transfer at PhonePe,Others
174.36,Uber,flight at Uber,Travel
1190.98,PractO,doctor visit at PractO,Healthcare
908.74,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
2790.29,More Supermarket,monthly ration at More Supermarket,Groceries
154.85,Netflix,games at Netflix,Entertainment
1004.85,Netmeds,health checkup at Netmeds,Healthcare
243.86,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
588.84,Uber,cab fare at Uber,Travel
2005.44,Ajio,clothes at Ajio,Shopping
969.45,Coursera,course fee at Coursera,Education
707.14,Amazon,footwear at Amazon,Shopping
752.49,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
922.74,Zomato,dinner at Zomato,Dining
2305.79,Domino's,snack at Domino's,Dining
3339.61,Google Pay,recharge at Google Pay,Others
4662.84,Unacademy,course fee at Unacademy,Education
2319.01,Coursera,study material at Coursera,Education
568.4,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
1747.78,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
863.32,Google Pay,payment at Google Pay,Others
440.89,RedBus,train ticket at RedBus,Travel
2757.07,Domino's,food delivery at Domino's,Dining
58.78,Amazon,home decor at Amazon,Shopping
3480.54,Tata Power,internet at Tata Power,Utilities
928.39,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
1520.86,Paytm,payment at Paytm,Others
1615.37,Ajio,home decor at Ajio,Shopping
3382.38,Netflix,subscription at Netflix,Entertainment
1518.66,Apollo Pharmacy,HEALTH CHECKUP AT APOLLO PHARMACY,Healthcare
1427.62,BESCOM,gas bill at BESCOM,Utilities
103.47,Zomato,dinner at Zomato,Dining
1095.99,Netmeds,medicine at Netmeds,Healthcare
244.08,Swiggy,dinner at Swiggy,Dining
2005.88,Barbeque Nation,snack at Barbeque Nation,Dining
1076.84,1mg,consultation at 1mg,Healthcare
1710.22,BYJU'S,course fee at BYJU'S,Education
63.85,BESCOM,electricity bill at BESCOM,Utilities
132.91,Uber,flight at Uber,Travel
1889.88,BESCOM,internet at BESCOM,Utilities
112.22,More Supermarket,MILK AT MORE SUPERMARKET,Groceries
110.88,Google Pay,recharge at Google Pay,Others
18.27,Spotify,subscription at Spotify,Entertainment
4702.54,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
2006.3,Ola,flight at Ola,Travel
653.7,DMart,vegetables at DMart,Groceries
527.61,Indian Oil,fuel refill at Indian Oil,Fuel
645.49,Netflix,movie at Netflix,Entertainment
2235.17,Amazon,electronics at Amazon,Shopping
1624.27,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
307.21,Netmeds,doctor visit at Netmeds,Healthcare
286.94,Reliance Fresh,bread at Reliance Fresh,Groceries
155.37,Paytm,recharge at Paytm,Others
1619.55,Spotify,movie at Spotify,Entertainment
2168.26,Tata Power,mobile recharge at Tata Power,Utilities
461.92,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
31.75,Airtel,mobile recharge at Airtel,Utilities
128.62,Google Pay,transfer at Google Pay,Others
5156.48,Flipkart,footwear at Flipkart,Shopping
525.28,More Supermarket,BREAD AT MORE SUPERMARKET,Groceries
2199.46,Unacademy,subscription at Unacademy,Education
1469.9,BESCOM,internet at BESCOM,Utilities
721.75,Ola,train ticket at Ola,Travel
345.42,IRCTC,cab fare at IRCTC,Travel
194.12,Netmeds,medicine at Netmeds,Healthcare
1431.82,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
2235.04,Netflix,SUBSCRIPTION AT NETFLIX,Entertainment
1548.83,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1133.5,BYJU'S,study material at BYJU'S,Education
64.28,Swiggy,lunch at Swiggy,Dining
5186.12,Barbeque Nation,food delivery at Barbeque Nation,Dining
2404.54,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
519.71,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
5865.81,Airtel,electricity bill at Airtel,Utilities
1381.51,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
1309.93,Apollo Pharmacy,CONSULTATION AT APOLLO PHARMACY,Healthcare
2067.92,Google Pay,transfer at Google Pay,Others
2505.13,Bharat Petroleum,PETROL AT BHARAT PETROLEUM,Fuel
1602.76,Myntra,footwear at Myntra,Shopping
205.61,Ajio,clothes at Ajio,Shopping
619.34,Coursera,COURSE FEE AT COURSERA,Education
3948.38,Mahanagar Gas,internet at Mahanagar Gas,Utilities
381.59,apollo pharmacy,doctor visit at Apollo Pharmacy,Healthcare
698.22,Netflix,games at Netflix,Entertainment
848.65,PractO,health checkup at PractO,Healthcare
868.13,Paytm,transfer at Paytm,Others
1423.76,Indian Oil,petrol at Indian Oil,Fuel
4299.05,BookMyShow,SUBSCRIPTION AT BOOKMYSHOW,Entertainment
413.02,Amazon,home decor at Amazon,Shopping
194.31,More Supermarket,bread at More Supermarket,Groceries
329.98,PhonePe,RECHARGE AT PHONEPE,Others
3269.55,indian oil,petrol at Indian Oil,Fuel
1556.89,PractO,doctor visit at PractO,Healthcare
505.11,Myntra,FOOTWEAR AT MYNTRA,Shopping
2538.8,Airtel,electricity bill at Airtel,Utilities
2963.92,1mg,medicine at 1mg,Healthcare
2811.22,Unacademy,subscription at Unacademy,Education
3768.6,Spotify,concert at Spotify,Entertainment
436.01,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
2110,Amazon,home decor at Amazon,Shopping
925.78,Indian Oil,diesel at Indian Oil,Fuel
2767.73,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
1955.64,BYJU'S,STUDY MATERIAL AT BYJU'S,Education
2247.16,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
1601.38,Spotify,games at Spotify,Entertainment
292.98,Swiggy,food delivery at Swiggy,Dining
1181.28,Barbeque Nation,lunch at Barbeque Nation,Dining
6266.89,BESCOM,GAS BILL AT BESCOM,Utilities
4156.2,Zomato,snack at Zomato,Dining
66.2,Google Pay,payment at Google Pay,Others
270.15,apollo pharmacy,consultation at Apollo Pharmacy,Healthcare
211.88,IRCTC,flight at IRCTC,Travel
1941.83,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
2553.85,Zomato,lunch at Zomato,Dining
360.27,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
1057.38,IRCTC,train ticket at IRCTC,Travel
2755.48,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
1979.65,Reliance Fresh,milk at Reliance Fresh,Groceries
1172.11,Indian Oil,diesel at Indian Oil,Fuel
1338.67,Swiggy,FOOD DELIVERY AT SWIGGY,Dining
1065.01,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
529.77,1mg,consultation at 1mg,Healthcare
1248.69,PhonePe,transfer at PhonePe,Others
1751.39,BookMyShow,games at BookMyShow,Entertainment
3099.17,Zomato,snack at Zomato,Dining
1517.1,Indian Oil,petrol at Indian Oil,Fuel
2147.7,Vedantu,study material at Vedantu,Education
261.66,IRCTC,train ticket at IRCTC,Travel
928.61,Reliance Fresh,milk at Reliance Fresh,Groceries
14.06,Reliance Fresh,bread at Reliance Fresh,Groceries
424.9,PractO,consultation at PractO,Healthcare
1944.47,Swiggy,lunch at Swiggy,Dining
7207.25,Swiggy,lunch at Swiggy,Dining
156.67,Ajio,clothes at Ajio,Shopping
769.98,Spotify,games at Spotify,Entertainment
2414.69,Coursera,study material at Coursera,Education
342.3,Barbeque Nation,dinner at Barbeque Nation,Dining
1214.81,Reliance Fresh,vegetables at Reliance Fresh,Groceries
1981.16,Myntra,home decor at Myntra,Shopping
1435.61,PhonePe,recharge at PhonePe,Others
312.43,BookMyShow,games at BookMyShow,Entertainment
658.65,Myntra,home decor at Myntra,Shopping
2297.27,Mahanagar Gas,internet at Mahanagar Gas,Utilities
1211.92,Ajio,electronics at Ajio,Shopping
10,Hotstar,concert at Hotstar,Entertainment
2146.88,Amazon,electronics at Amazon,Shopping
53.92,Netmeds,doctor visit at Netmeds,Healthcare
2054.06,Netflix,subscription at Netflix,Entertainment
339.37,IRCTC,train ticket at IRCTC,Travel
4757.76,Google Pay,recharge at Google Pay,Others
688.16,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
593.86,Big Bazaar,milk at Big Bazaar,Groceries
241.82,RedBus,train ticket at RedBus,Travel
547.07,Myntra,footwear at Myntra,Shopping
3139.1,Vedantu,course fee at Vedantu,Education
8413.12,RedBus,train ticket at RedBus,Travel
689.03,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
892.97,Indian Oil,diesel at Indian Oil,Fuel
1920.58,Google Pay,payment at Google Pay,Others
3259.91,1mg,CONSULTATION AT 1MG,Healthcare
1348.58,PractO,health checkup at PractO,Healthcare
745.2,Paytm,payment at Paytm,Others
798.13,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
1784.21,Airtel,mobile recharge at Airtel,Utilities
10,apollo pharmacy,consultation at Apollo Pharmacy,Healthcare
1449.76,PractO,medicine at PractO,Healthcare
658.9,Ajio,electronics at Ajio,Shopping
2371.26,BESCOM,mobile recharge at BESCOM,Utilities
146.4,Zomato,snack at Zomato,Dining
1330.83,Uber,bus ticket at Uber,Travel
983.7,Zomato,lunch at Zomato,Dining
1542.2,DMart,milk at DMart,Groceries
100.58,Netmeds,doctor visit at Netmeds,Healthcare
1301.19,Flipkart,clothes at Flipkart,Shopping
1236.54,Tata Power,internet at Tata Power,Utilities
1233.72,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
1387.57,Coursera,study material at Coursera,Education
1692.69,Vedantu,study material at Vedantu,Education
2452.05,Coursera,course fee at Coursera,Education
471.7,Barbeque Nation,food delivery at Barbeque Nation,Dining
2614.88,DMart,monthly ration at DMart,Groceries
1034.5,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
120.28,Ajio,footwear at Ajio,Shopping
90.5,DMart,bread at DMart,Groceries
610.24,Ola,train ticket at Ola,Travel
2304.96,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
1844.86,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
2331.11,BookMyShow,games at BookMyShow,Entertainment
1092.44,Myntra,clothes at Myntra,Shopping
870.26,BYJU'S,study material at BYJU'S,Education
239.29,Uber,flight at Uber,Travel
596.68,Google Pay,PAYMENT AT GOOGLE PAY,Others
853.79,Airtel,gas bill at Airtel,Utilities
139.16,BESCOM,electricity bill at BESCOM,Utilities
373.87,1mg,consultation at 1mg,Healthcare
1367.8,Spotify,subscription at Spotify,Entertainment
1995.8,netflix,subscription at Netflix,Entertainment
9608.21,Hotstar,games at Hotstar,Entertainment
4057.13,Swiggy,lunch at Swiggy,Dining
1543.2,Vedantu,subscription at Vedantu,Education
820.32,Google Pay,recharge at Google Pay,Others
1516.63,RedBus,flight at RedBus,Travel
2310.23,PractO,consultation at PractO,Healthcare
188.92,Paytm,payment at Paytm,Others
791.21,Zomato,dinner at Zomato,Dining
2747.02,Indian Oil,PETROL AT INDIAN OIL,Fuel
726.36,bookmyshow,movie at BookMyShow,Entertainment
1272.5,Big Bazaar,bread at Big Bazaar,Groceries
1329.26,Flipkart,home decor at Flipkart,Shopping
305.89,byju's,subscription at BYJU'S,Education
674.68,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
610.85,Ola,bus ticket at Ola,Travel
39.82,Indian Oil,petrol at Indian Oil,Fuel
36.73,Indian Oil,fuel refill at Indian Oil,Fuel
2672.98,PractO,consultation at PractO,Healthcare
478.39,Amazon,footwear at Amazon,Shopping
1094.96,Big Bazaar,vegetables at Big Bazaar,Groceries
532.28,Spotify,concert at Spotify,Entertainment
4237.19,Indian Oil,petrol at Indian Oil,Fuel
450.23,DMart,bread at DMart,Groceries
842.28,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
3092.17,BookMyShow,movie at BookMyShow,Entertainment
2767.11,Vedantu,study material at Vedantu,Education
308.88,IRCTC,flight at IRCTC,Travel
2434.11,Myntra,clothes at Myntra,Shopping
919.25,Ola,bus ticket at Ola,Travel
989.48,DMart,VEGETABLES AT DMART,Groceries
214.91,1mg,CONSULTATION AT 1MG,Healthcare
126.05,Coursera,course fee at Coursera,Education
1952.6,1mg,health checkup at 1mg,Healthcare
1029.14,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
861.32,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
1961.27,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
2175.53,byju's,course fee at BYJU'S,Education
259.58,Amazon,clothes at Amazon,Shopping
1413.28,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
218.15,Netflix,games at Netflix,Entertainment
2087.71,Paytm,transfer at Paytm,Others
1604.84,Airtel,internet at Airtel,Utilities
4706.45,Coursera,course fee at Coursera,Education
107.18,Swiggy,food delivery at Swiggy,Dining
88.12,big bazaar,monthly ration at Big Bazaar,Groceries
497.32,Hotstar,games at Hotstar,Entertainment
455.12,PhonePe,recharge at PhonePe,Others
425.49,BookMyShow,movie at BookMyShow,Entertainment
3550.76,Big Bazaar,milk at Big Bazaar,Groceries
430.62,RedBus,cab fare at RedBus,Travel
476.08,Netmeds,HEALTH CHECKUP AT NETMEDS,Healthcare
2136.92,Swiggy,dinner at Swiggy,Dining
896.05,Swiggy,lunch at Swiggy,Dining
2248.93,BYJU'S,study material at BYJU'S,Education
101.4,Flipkart,footwear at Flipkart,Shopping
1002.89,Flipkart,electronics at Flipkart,Shopping
51.29,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
97.05,Unacademy,course fee at Unacademy,Education
3553.69,Zomato,food delivery at Zomato,Dining
224.92,Unacademy,subscription at Unacademy,Education
1140.28,Airtel,gas bill at Airtel,Utilities
794.24,Vedantu,subscription at Vedantu,Education
640.06,Amazon,clothes at Amazon,Shopping
3451.38,RedBus,cab fare at RedBus,Travel
33.1,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
1635.03,Indian Oil,DIESEL AT INDIAN OIL,Fuel
4961.33,More Supermarket,milk at More Supermarket,Groceries
1232.04,Domino's,snack at Domino's,Dining
4142.71,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
80.51,airtel,MOBILE RECHARGE AT AIRTEL,Utilities
813.97,Big Bazaar,monthly ration at Big Bazaar,Groceries
451.98,Myntra,electronics at Myntra,Shopping
1968.57,Netmeds,health checkup at Netmeds,Healthcare
5968.61,PractO,health checkup at PractO,Healthcare
444.64,PractO,doctor visit at PractO,Healthcare
1592.73,Hotstar,movie at Hotstar,Entertainment
331.15,Zomato,lunch at Zomato,Dining
1249.75,Unacademy,STUDY MATERIAL AT UNACADEMY,Education
935.24,Coursera,study material at Coursera,Education
5363.61,Uber,cab fare at Uber,Travel
1406.76,PhonePe,payment at PhonePe,Others
645.04,Reliance Fresh,vegetables at Reliance Fresh,Groceries
181.72,BYJU'S,study material at BYJU'S,Education
245.98,DMart,monthly ration at DMart,Groceries
382.95,Coursera,study material at Coursera,Education
433.46,Flipkart,footwear at Flipkart,Shopping
2851.85,Domino's,lunch at Domino's,Dining
1235.65,BESCOM,mobile recharge at BESCOM,Utilities
1111.59,More Supermarket,bread at More Supermarket,Groceries
182.86,Google Pay,transfer at Google Pay,Others
2950.67,Indian Oil,fuel refill at Indian Oil,Fuel
1924.6,Indian Oil,fuel refill at Indian Oil,Fuel
105.1,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
1845.66,Tata Power,internet at Tata Power,Utilities
1176.38,PractO,MEDICINE AT PRACTO,Healthcare
127.89,IRCTC,train ticket at IRCTC,Travel
919.57,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
994.5,PhonePe,payment at PhonePe,Others
271.88,Airtel,mobile recharge at Airtel,Utilities
4369.8,Paytm,recharge at Paytm,Others
2845.43,Zomato,lunch at Zomato,Dining
1658.56,Coursera,subscription at Coursera,Education
930.67,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
795.94,Swiggy,dinner at Swiggy,Dining
1578.91,Indian Oil,petrol at Indian Oil,Fuel
1182.61,BESCOM,gas bill at BESCOM,Utilities
96.44,Spotify,concert at Spotify,Entertainment
1077.71,Big Bazaar,milk at Big Bazaar,Groceries
2462.97,Paytm,transfer at Paytm,Others
922.17,Vedantu,COURSE FEE AT VEDANTU,Education
80.03,IRCTC,cab fare at IRCTC,Travel
2314.62,PhonePe,payment at PhonePe,Others
337.27,Flipkart,HOME DECOR AT FLIPKART,Shopping
448.86,Big Bazaar,vegetables at Big Bazaar,Groceries
269.96,Vedantu,study material at Vedantu,Education
601.2,Amazon,HOME DECOR AT AMAZON,Shopping
2120.51,Google Pay,recharge at Google Pay,Others
1099.04,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
343.9,dmart,bread at DMart,Groceries
3153.51,Uber,train ticket at Uber,Travel
3175.18,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
3067.02,BYJU'S,subscription at BYJU'S,Education
409.28,PhonePe,payment at PhonePe,Others
900.14,Uber,bus ticket at Uber,Travel
6298.52,Coursera,course fee at Coursera,Education
2217.7,More Supermarket,vegetables at More Supermarket,Groceries
41.31,Flipkart,electronics at Flipkart,Shopping
101.14,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
935.24,Myntra,clothes at Myntra,Shopping
3598.98,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
1160.57,BookMyShow,subscription at BookMyShow,Entertainment
1033.17,Mahanagar Gas,internet at Mahanagar Gas,Utilities
167.19,RedBus,bus ticket at RedBus,Travel
1604.08,Zomato,lunch at Zomato,Dining
2589.83,Bharat Petroleum,FUEL REFILL AT BHARAT PETROLEUM,Fuel
718.07,Zomato,food delivery at Zomato,Dining
2241.57,BYJU'S,course fee at BYJU'S,Education
5006.35,Spotify,movie at Spotify,Entertainment
341.79,Uber,flight at Uber,Travel
1111.4,Paytm,recharge at Paytm,Others
507.7,Google Pay,transfer at Google Pay,Others
2361.5,Vedantu,course fee at Vedantu,Education
1292.68,DMart,monthly ration at DMart,Groceries
1510.07,PhonePe,transfer at PhonePe,Others
2398.59,Domino's,dinner at Domino's,Dining
756.2,Reliance Fresh,milk at Reliance Fresh,Groceries
3699.25,big bazaar,milk at Big Bazaar,Groceries
1142.23,BESCOM,gas bill at BESCOM,Utilities
257.88,More Supermarket,bread at More Supermarket,Groceries
1785.59,Indian Oil,diesel at Indian Oil,Fuel
2364.45,IRCTC,flight at IRCTC,Travel
571.37,paytm,recharge at Paytm,Others
2919.25,BYJU'S,study material at BYJU'S,Education
3548.98,Unacademy,subscription at Unacademy,Education
486.32,Big Bazaar,vegetables at Big Bazaar,Groceries
6158.55,bookmyshow,subscription at BookMyShow,Entertainment
227.48,Amazon,footwear at Amazon,Shopping
338.5,Google Pay,recharge at Google Pay,Others
305.42,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
3366.33,paytm,transfer at Paytm,Others
1593.24,Amazon,electronics at Amazon,Shopping
247.5,Amazon,footwear at Amazon,Shopping
870.59,More Supermarket,bread at More Supermarket,Groceries
1432.93,More Supermarket,bread at More Supermarket,Groceries
130.73,Paytm,payment at Paytm,Others
3210.91,Unacademy,study material at Unacademy,Education
2441.43,Spotify,movie at Spotify,Entertainment
1055.42,Uber,bus ticket at Uber,Travel
5122.64,Uber,flight at Uber,Travel
811.31,IRCTC,bus ticket at IRCTC,Travel
6213.13,Domino's,lunch at Domino's,Dining
1653.57,Myntra,clothes at Myntra,Shopping
1510.44,Ola,flight at Ola,Travel
272.2,BESCOM,electricity bill at BESCOM,Utilities
3204.69,Big Bazaar,milk at Big Bazaar,Groceries
836.59,Paytm,recharge at Paytm,Others
265.52,Unacademy,study material at Unacademy,Education
19.03,Tata Power,internet at Tata Power,Utilities
1230.64,More Supermarket,bread at More Supermarket,Groceries
1124.26,BYJU'S,study material at BYJU'S,Education
1905.99,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
3314.44,Vedantu,course fee at Vedantu,Education
124.11,Hotstar,concert at Hotstar,Entertainment
1972.34,Barbeque Nation,dinner at Barbeque Nation,Dining
311.3,IRCTC,bus ticket at IRCTC,Travel
2929.76,PractO,health checkup at PractO,Healthcare
2564.41,Vedantu,SUBSCRIPTION AT VEDANTU,Education
1167.38,BookMyShow,concert at BookMyShow,Entertainment
1858.07,Myntra,clothes at Myntra,Shopping
566.08,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
955.63,DMart,milk at DMart,Groceries
2585.9,Ajio,electronics at Ajio,Shopping
922.24,Google Pay,transfer at Google Pay,Others
664.28,Unacademy,study material at Unacademy,Education
1022.46,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
2642.57,Barbeque Nation,food delivery at Barbeque Nation,Dining
612.42,RedBus,train ticket at RedBus,Travel
286.31,Indian Oil,petrol at Indian Oil,Fuel
1867.27,BookMyShow,subscription at BookMyShow,Entertainment
2622.86,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
159.1,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
411.41,Vedantu,course fee at Vedantu,Education
229.68,DMart,bread at DMart,Groceries
641.43,Airtel,internet at Airtel,Utilities
897.71,PhonePe,recharge at PhonePe,Others
2072.42,Coursera,course fee at Coursera,Education
1579.66,Coursera,subscription at Coursera,Education
1455.05,More Supermarket,vegetables at More Supermarket,Groceries
651.67,PractO,consultation at PractO,Healthcare
2762.5,Coursera,study material at Coursera,Education
955.96,Reliance Fresh,milk at Reliance Fresh,Groceries
5802.36,Reliance Fresh,milk at Reliance Fresh,Groceries
1508.27,Spotify,movie at Spotify,Entertainment
202.47,Hotstar,subscription at Hotstar,Entertainment
1691.34,Mahanagar Gas,internet at Mahanagar Gas,Utilities
589.8,Vedantu,subscription at Vedantu,Education
1739.11,Domino's,food delivery at Domino's,Dining
108.28,Vedantu,study material at Vedantu,Education
288.34,Paytm,payment at Paytm,Others
2904.18,BookMyShow,concert at BookMyShow,Entertainment
386.56,Netmeds,CONSULTATION AT NETMEDS,Healthcare
2721.39,Myntra,electronics at Myntra,Shopping
491.25,byju's,course fee at BYJU'S,Education
1544.53,Netflix,subscription at Netflix,Entertainment
1776.99,Hotstar,games at Hotstar,Entertainment
1078.17,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
546.44,Airtel,MOBILE RECHARGE AT AIRTEL,Utilities
358.61,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
50.63,Netflix,games at Netflix,Entertainment
543.49,Coursera,study material at Coursera,Education
1588.35,Myntra,electronics at Myntra,Shopping
4178.32,Indian Oil,diesel at Indian Oil,Fuel
3074.29,PhonePe,payment at PhonePe,Others
2179.07,Netmeds,health checkup at Netmeds,Healthcare
2329.92,Hotstar,subscription at Hotstar,Entertainment
1640.37,barbeque nation,snack at Barbeque Nation,Dining
452.24,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
3565.88,mahanagar gas,electricity bill at Mahanagar Gas,Utilities
1666.33,DMart,monthly ration at DMart,Groceries
1232.97,Coursera,subscription at Coursera,Education
176.47,Airtel,mobile recharge at Airtel,Utilities
888.75,DMart,vegetables at DMart,Groceries
925.27,Swiggy,lunch at Swiggy,Dining
